precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
4401.99,canadianpharmacystore.com,everolimus,everolimus,13:53:36 22/09/2023,Canada,16.7667,73806.85,pchecker,everolimus,180,tableta,mg,1.0
1458.25,discountcanadadrugs.com/,everolimus,everolimus,13:53:36 22/09/2023,Canada,16.7667,24450.04,pchecker,everolimus,60,tableta,mg,1.0
4374.75,discountcanadadrugs.com/,everolimus,everolimus,13:53:36 22/09/2023,Canada,16.7667,73350.12,pchecker,everolimus,180,tableta,mg,1.0
2698.99,canadianpharmacystore.com,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,45253.16,pchecker,everolimus,30,tableta,mg,2.0
7796.99,canadianpharmacystore.com,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,130729.79,pchecker,everolimus,90,tableta,mg,2.0
2699.7000000000003,discountcanadadrugs.com/,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,45265.06,pchecker,everolimus,30,tableta,mg,2.0
7796.7,discountcanadadrugs.com/,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,130724.93,pchecker,everolimus,90,tableta,mg,2.0
5749.0,pricepropharmacy.com/,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,96391.76,pchecker,everolimus,30,tableta,mg,2.0
2824.5,spfpharmacy.com,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,47357.54,pchecker,everolimus,30,tableta,mg,2.0
8177.400000000001,spfpharmacy.com,everolimus,everolimus,13:53:46 22/09/2023,Canada,16.7667,137108.01,pchecker,everolimus,90,tableta,mg,2.0
1572.99,canadianpharmacystore.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,26373.85,pchecker,everolimus,30,tableta,mg,5.0
4217.99,canadianpharmacystore.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,70721.77,pchecker,everolimus,90,tableta,mg,5.0
1570.6399999999999,discountcanadadrugs.com/,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,26334.45,pchecker,everolimus,30,tableta,mg,5.0
4214.91,discountcanadadrugs.com/,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,70670.13,pchecker,everolimus,90,tableta,mg,5.0
958.1,liferxpharmacy.com/,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,16064.18,pchecker,everolimus,60,tableta,mg,5.0
1361.5,liferxpharmacy.com/,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,22827.86,pchecker,everolimus,90,tableta,mg,5.0
915.51,medsengage.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,15350.08,pchecker,everolimus,60,tableta,mg,5.0
1300.99,medsengage.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,21813.31,pchecker,everolimus,90,tableta,mg,5.0
1277.46,offshorecheapmeds.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,21418.79,pchecker,everolimus,60,tableta,mg,5.0
1815.34,offshorecheapmeds.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,30437.26,pchecker,everolimus,90,tableta,mg,5.0
5849.0,pricepropharmacy.com/,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,98068.43,pchecker,everolimus,30,tableta,mg,5.0
